date,amount,description
2024-01-01,250,Swiggy order
2024-01-02,1200,Electricity bill
2024-01-03,5000,Rent payment
2024-01-04,150,Ola cab ride
2024-01-05,800,Grocery shopping Big Bazaar
2024-01-06,300,Zomato food delivery
2024-01-07,450,Uber ride to office
2024-01-08,2000,Amazon shopping
2024-01-09,600,Netflix and Spotify subscription
2024-01-10,180,McDonalds lunch
2024-01-11,1500,Water and gas bill
2024-01-12,350,Rapido bike ride
2024-01-13,1200,Flipkart order shoes
2024-01-14,400,Dunzo grocery delivery
2024-01-15,5000,Rent payment second week
2024-01-16,220,Dominos pizza
2024-01-17,750,DTH recharge and internet bill
2024-01-18,500,Myntra clothes
2024-01-19,300,Auto rickshaw rides
2024-01-20,650,KFC dinner
2024-01-21,1800,Electricity surcharge
2024-01-22,2500,Amazon electronics
2024-01-23,200,Tea and snacks canteen
2024-01-24,900,Petrol refill
2024-01-25,1100,Mobile phone bill
2024-01-26,400,Burger King meal
2024-01-27,3200,Meesho shopping spree
2024-01-28,280,Rapido ride
2024-01-29,1600,LPG cylinder payment
2024-01-30,850,BigBasket weekly groceries
2024-02-01,270,Swiggy breakfast
2024-02-02,5000,Rent payment
2024-02-03,1100,Electricity bill
2024-02-04,600,Ola outstation trip
2024-02-05,950,More supermarket groceries
2024-02-06,320,Zomato lunch
2024-02-07,480,Uber airport drop
2024-02-08,2800,Flipkart sale purchase
2024-02-09,700,Amazon Prime and subscription
2024-02-10,230,Subway sandwich
2024-02-11,1300,Internet broadband bill
2024-02-12,400,Bus pass monthly
2024-02-13,1600,Nykaa beauty products
2024-02-14,550,Blinkit grocery express
2024-02-15,5000,Rent payment
2024-02-16,290,Pizza Hut order
2024-02-17,850,DTH and OTT bills
2024-02-18,700,Ajio fashion order
2024-02-19,350,Rickshaw rides
2024-02-20,900,KFC family meal
2024-02-21,2100,Electricity bill revised
2024-02-22,3500,Amazon gadget purchase
2024-02-23,250,Office pantry snacks
2024-02-24,1100,Petrol and parking
2024-02-25,1200,Jio postpaid bill
2024-02-26,500,Burger King family
2024-02-27,4000,Meesho bulk order
2024-02-28,310,Metro card recharge
2024-03-01,280,Swiggy dinner
2024-03-02,5000,Rent payment
2024-03-03,1050,Electricity bill
2024-03-04,700,Ola ride outstation
2024-03-05,1100,Reliance Fresh groceries
2024-03-06,360,Zomato lunch order
2024-03-07,520,Uber rides weekly
2024-03-08,1500,Amazon household items
2024-03-09,650,Netflix Hotstar subscriptions
2024-03-10,200,Chai point office
2024-03-11,1400,Gas and water bill
2024-03-12,450,City bus monthly pass
2024-03-13,900,Myntra sale order
2024-03-14,600,Zepto grocery delivery
2024-03-15,5000,Rent payment
2024-03-16,310,McDonalds dinner
2024-03-17,800,BSNL broadband bill
2024-03-18,1200,Bewakoof clothing
2024-03-19,280,Auto rides
2024-03-20,750,Pizza and drinks evening
2024-03-21,1900,Electricity overage bill
2024-03-22,6500,Apple accessories purchase
2024-03-23,220,Tea coffee vending
2024-03-24,1300,Petrol full tank
2024-03-25,1050,Vodafone postpaid
2024-03-26,420,Burger corner meal
2024-03-27,2800,Flipkart electronics
2024-03-28,390,Rapido office rides
2024-03-29,1700,LPG and maintenance
2024-03-30,950,DMart groceries
